"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"68","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 11:00:40,FALSE,NA,"975688499499282433",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lifes2000",1049,TRUE,FALSE,NA,NA
"69","%30 Anlık Canlı Casino Discount
https://t.co/jR2ixVi6yr

#casinobonus #ntvspor #galatasaray #fenerbahce #bet #bahis… https://t.co/H9jUcB2LgG",FALSE,1,NA,2018-03-19 11:00:03,TRUE,NA,"975688342883983361",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","meritslots",0,FALSE,FALSE,NA,NA
"70","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 10:59:04,FALSE,NA,"975688098628689920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bilemiyorsun",1049,TRUE,FALSE,NA,NA
"71","RT @AslanKral525555: Takip listemdeki sarı kırmızı renklere gönül vermiş koyu Galatasaraylı @akincakir_ renktaşlarına samimiyetle ve memnun…",FALSE,0,NA,2018-03-19 10:58:06,FALSE,NA,"975687856055291904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","huseyib1961",3,TRUE,FALSE,NA,NA
"72","Bu hafta hangi takım daha iyi oynadı? #Galatasaray #Fenerbahce #Besiktas #basaksehir #maç",FALSE,1,NA,2018-03-19 10:57:25,FALSE,NA,"975687681790365696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","survivor123surv",0,FALSE,FALSE,NA,NA
"73","Galatasaray’ın kaçırdığı gol sonrası kendinden geçen aile������

#galatasaray #futbol #türkiye  #komik #video https://t.co/yIml5jx5Fq",FALSE,2,NA,2018-03-19 10:56:00,FALSE,NA,"975687325362638848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xyazarmedya",0,FALSE,FALSE,NA,NA
"74","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 10:55:28,FALSE,NA,"975687192424206336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mustfcan",1049,TRUE,FALSE,NA,NA
"75","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 10:51:26,FALSE,NA,"975686178367311872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","okutucufatih",1049,TRUE,FALSE,NA,NA
"76","������@ukarakullukcu: ""Bu ligin favorisi artık Galatasaray!.. İpler artık Galatasaray'ın elinde..."" #SporSayfası… https://t.co/UeX3Rbv7Ch",FALSE,10,NA,2018-03-19 10:50:53,TRUE,NA,"975686037971271681",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lifeplus_Tv",0,FALSE,FALSE,NA,NA
"77","RT @taka_fuck_me: 長友に鎧や侍の格好させたらガラタサライ公式がリツイートやふぁぼしてくるのか実験
#Galatasaray #nagatomo #nagatomoyuto #Türkiye https://t.co/VhMmWDuDbC",FALSE,0,NA,2018-03-19 10:50:34,FALSE,NA,"975685957260214272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","geninter2",5,TRUE,FALSE,NA,NA
"78","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 10:49:37,FALSE,NA,"975685717442654208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","smallguard_",1049,TRUE,FALSE,NA,NA
"79","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 10:47:57,FALSE,NA,"975685298914021376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","uABursA",1049,TRUE,FALSE,NA,NA
"80","RT @LionKing1905_: #Galatasaray dan ayrılan oyuncu hoca yöneticiyi #Galatasaray ne zaman havaya girse canlı yayına davet edip Galatasaray'ı…",FALSE,0,NA,2018-03-19 10:47:36,FALSE,NA,"975685212448460800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gomezdede1",3,TRUE,FALSE,NA,NA
"81","Gerçekleri tarih yazar, tarihi de #Galatasaray. https://t.co/MLJMnCRTSK",FALSE,21,NA,2018-03-19 10:47:35,FALSE,NA,"975685206769389569",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EksiGalatasaray",3,FALSE,FALSE,NA,NA
