,Text,favorited,favoriteCount,Date,truncated,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted
133,"RT @tarafsiz_anket: BEDELLİ ASKERLİK GELMELİ Mİ?

TAKİP EDİP OY KULLANALIM
#YHSninSesiMustafaKalaycı Ali Koç #SinemeSessizKalma Suudi Arabi…",FALSE,0,2018-03-19 19:32:48,FALSE,9.75817381443457E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dervis_faruk,81,TRUE,FALSE
134,RT @BeholdIsrael: Amir will give a @facebookLIVE from #Jerusalem at 10 pm (#Israel time) #Monday night. He will speak about the #Turkish co…,FALSE,0,2018-03-19 19:32:48,FALSE,9.75817381221106E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",disciplefish,9,TRUE,FALSE
135,"RT @RamazanAkbas37: Deutsche Medien schreiben jetzt, die #YPG habe vernünftig gehandelt und sich aus #Afrin zurückgezogen. In welchen Klamo…",FALSE,0,2018-03-19 19:32:46,FALSE,9.75817376024482E+017,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Ekrem_Akyol,25,TRUE,FALSE
136,"RT @eha_medya: Zeytin Dalı Harekatı kapsamında terör örgütü PKK/YPG'den temizlenen Afrin’de, Türk Silahlı Kuvvetleri ile koordineli olarak…",FALSE,0,2018-03-19 19:32:45,FALSE,9.75817371083473E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Yusufkaslu01,2,TRUE,FALSE
137,RT @asut_ayse: Değerli Vekilimiz Sn. @ZTaskesenlioglu Hanım’a katılımları ve değerli sunumları için tekrar teşekkür ediyoruz. Terör gerçekl…,FALSE,0,2018-03-19 19:32:45,FALSE,9.75817368449573E+017,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",OlcaySara1,125,TRUE,FALSE
138,Pdt que les Kurdes se font massacrer à #Afrin par les djihadistes syriens qui se sont ralliés à l'armée d'#Erdogan… https://t.co/U4woUI6Icr,FALSE,1,2018-03-19 19:32:44,TRUE,9.75817364506898E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PamelaTamby,1,FALSE,FALSE
139,@dersi4m's account has been withheld in Turkey in response to a legal demand. Learn more.,FALSE,0,2018-03-19 19:32:44,FALSE,9.7581736402031E+017,NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",Danzadeliranza,13,TRUE,FALSE
140,RT @RainerRogge: Schon vor Jahren habe ich davor gewarnt das der #Diktator der #Tuerkei den #Krieg um die Eroberung von fast ganz #Kurdista…,FALSE,0,2018-03-19 19:32:43,FALSE,9.75817361629569E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FrauLavendel,2,TRUE,FALSE
141,"Gelin Damat kutlaması değil.
Ölümün sesş.
Fosfor bombası.
Bir tanesi #Afrin'i dümdüz ederdi.

Etler erir.
Kemikler… https://t.co/R7l0UYa76u",FALSE,0,2018-03-19 19:32:42,TRUE,9.75817357531771E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",drmustafaakman,2,FALSE,FALSE
142,"RT @RRYrevolucion: #AnnaCampbell, militante anarquista e internacionalista, ha fallecido en #Afrin defendiendo la revolución de #Rojava fre…",FALSE,0,2018-03-19 19:32:42,FALSE,9.7581735630284E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AcrataRevolt,17,TRUE,FALSE
143,RT @juluniver: Otra bigradista ínternacional amiga con el pueblo d #Kurdistan muere asesinada por #ErdoganTerrorist en la defensa d #Afrin…,FALSE,0,2018-03-19 19:32:41,FALSE,9.75817351680746E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",XaviDinvents,2,TRUE,FALSE
144,"RT @ismail_kupeli: ""Kurdish militia vows to make #Afrin 'an ongoing nightmare' for Turks: YPG plans hit-and-run attacks on Turkish and Syri…",FALSE,0,2018-03-19 19:32:40,FALSE,9.75817350762164E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Twinnz4you,15,TRUE,FALSE
145,"RT @AltAkl2: Barzani Afrin için yas ilan etti... 🔥Nevruz kutlamaları da iptal...

O zaman danss...

#Afrin
#Efrin
#AfrinOperasyonu #AfrinHa…",FALSE,0,2018-03-19 19:32:40,FALSE,9.75817348723757E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KalkAdalet,150,TRUE,FALSE
146,"RT @themarginale: Türk Silahlı Kuvvetlerimizin #Afrin zaferinden sonra, Fırat kalkanı Harekatı bölgesindeki camilerden tekbir sesleri yükse…",FALSE,0,2018-03-19 19:32:40,FALSE,9.7581734817423E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Karasev79566372,472,TRUE,FALSE
147,"RT @HarunYahya_de: Möge Gott die türkischen Streitkräfte in #Afrin mit dem Sieg segnen. Möge
Gott unserer Armee bis zum Letzten Tag der Wel…",FALSE,0,2018-03-19 19:32:39,FALSE,9.75817344026141E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FouadMhaja,1,TRUE,FALSE
148,RT @CnytErgnn: Afrin zaferinde emeği geçen herkesten Allah razı olsun 🙏 Ülkemiz uğruna can veren kahraman şehitlerimizin mekanları cennet o…,FALSE,0,2018-03-19 19:32:38,FALSE,9.75817340037353E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",cimbombeyrtfav,69,TRUE,FALSE
149,"RT @LPalmisano: Ad #Afrin si sta consumando un genocidio firmato #Erdogan. La #Ue tace, come ad approvare la pulizia etnica dell'alleato tu…",FALSE,0,2018-03-19 19:32:37,FALSE,9.75817336610533E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dvcaradonna,52,TRUE,FALSE
150,"RT @slmhktn: Afrinlilerden Cumhurbaşkanı @RT_Erdogan'a dua: Allah zaferler nasip etsin
#عفرين #غصن_الزيتون خريطة #عاجل #BreakSilenceOnAfrin…",FALSE,0,2018-03-19 19:32:36,FALSE,9.75817331237707E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",50cananSonmez,18,TRUE,FALSE
151,RT @TurkHaberAjansi: TSK'nın kentte hayatın normale dönmesi için yürüttüğü çalışmalara Afrinliler de destek veriyor. Güvenlik ve huzur özle…,FALSE,0,2018-03-19 19:32:35,FALSE,9.75817328620462E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ismail9831,1,TRUE,FALSE
152,@kurdistannews24's account has been withheld in Turkey in response to a legal demand. Learn more.,FALSE,0,2018-03-19 19:32:34,FALSE,9.75817326024188E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",engbrahim,12,TRUE,FALSE
153,RT @OthmanEdress: Congrats #Nato your army of #ISIS thugs led by #TurkishArmy looting and terrorizing in #Afrin ##BreakSilenceOnAfrin https…,FALSE,0,2018-03-19 19:32:34,FALSE,9.75817322194719E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DkEcrsk1B5NESEU,294,TRUE,FALSE
154,"Avrupa Birliği (AB) Dışişleri Bakanları, #Brüksel'de #Afrin konusunu görüşecek. https://t.co/1ZH2NrVPJA",FALSE,0,2018-03-19 19:32:31,FALSE,9.75817312791155E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",diplomatik_stj,0,FALSE,FALSE
155,"RT @slmhktn: Afrinlilerden Cumhurbaşkanı @RT_Erdogan'a dua: Allah zaferler nasip etsin
#عفرين #غصن_الزيتون خريطة #عاجل #BreakSilenceOnAfrin…",FALSE,0,2018-03-19 19:32:31,FALSE,9.75817311679603E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",06ankaramm,18,TRUE,FALSE
156,"RT @alireza_arad: Demonstrations in Amsterdam, Netherlands, in support of #Afrin
We are voice of Afrin they are'nt alone
#BreakSilenceOnAfr…",FALSE,0,2018-03-19 19:32:30,FALSE,9.75817306788987E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sharonvarshochy,401,TRUE,FALSE
157,"RT @ismail_kupeli: ""Die türkischen Truppen haben gerade #Afrin erobert - doch das könnte #Erdoğan nicht reichen. Der Präsident droht bereit…",FALSE,0,2018-03-19 19:32:29,FALSE,9.7581730103031E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",scheerenberger,26,TRUE,FALSE
158,@dersi4m's account has been withheld in Turkey in response to a legal demand. Learn more.,FALSE,0,2018-03-19 19:32:28,FALSE,9.75817299176378E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Highlander1715,21,TRUE,FALSE
159,"RT @Selenznn: Sen Hilal taktiği nedir bilirmisin yeğen☪️🇹🇷🇹🇷🇹🇷😎

  #Afrin https://t.co/NLXdnIO6By",FALSE,0,2018-03-19 19:32:27,FALSE,9.75817296106152E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",sudem571,2,TRUE,FALSE
160,@Mexlumy's account has been withheld in Turkey in response to a legal demand. Learn more.,FALSE,0,2018-03-19 19:32:25,FALSE,9.75817287293985E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mexlumy,5,TRUE,FALSE
161,"RT @TobiasHuch: Hier ein Foto der #Erdogan-Trolle, die mich pausenlos anschreiben. Sogar die Tweets sind richtig zitiert. #Afrîn #Efrîn #Tü…",FALSE,0,2018-03-19 19:32:25,FALSE,9.75817286803173E+017,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",Ciya03012769,12,TRUE,FALSE
162,"RT @TRDiplomacy: The safe zone that #Turkey is planning to establish after the #Afrin operation 

#OperationOliveBranch https://t.co/ZWC1cC…",FALSE,0,2018-03-19 19:32:25,FALSE,9.7581728666477E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GurpinarHarun,17,TRUE,FALSE
163,RT @OthmanEdress: Congrats #Nato your army of #ISIS thugs led by #TurkishArmy looting and terrorizing in #Afrin ##BreakSilenceOnAfrin https…,FALSE,0,2018-03-19 19:32:24,FALSE,9.75817283607187E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2MO8DcxX6QCPtub,294,TRUE,FALSE
164,"RT @TobiasHuch: Hier ein Foto der #Erdogan-Trolle, die mich pausenlos anschreiben. Sogar die Tweets sind richtig zitiert. #Afrîn #Efrîn #Tü…",FALSE,0,2018-03-19 19:32:24,FALSE,9.75817282684375E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",EdipErdogan2,12,TRUE,FALSE
165,"Zeytin Dalı Harekatı kapsamında terör örgütü PKK/YPG'den temizlenen Afrin’de, Türk Silahlı Kuvvetleri ile koordinel… https://t.co/8kOE8tcmdu",FALSE,4,2018-03-19 19:32:24,TRUE,9.75817281317073E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SaameetDeemiir,6,FALSE,FALSE
166,"RT @vvanwilgenburg: This is because the YPG decided to protect the city of #afrin, civilians and withdrew. They knew urban battle would onl…",FALSE,0,2018-03-19 19:32:23,FALSE,9.75817277768655E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Banirad1,384,TRUE,FALSE
167,"RT @ismail_kupeli: ""Kurdish militia vows to make #Afrin 'an ongoing nightmare' for Turks: YPG plans hit-and-run attacks on Turkish and Syri…",FALSE,0,2018-03-19 19:32:23,FALSE,9.75817277550494E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",scheerenberger,15,TRUE,FALSE
168,"RT @NAV_DEM: Hunderttausende Zivilisten, die aufgrund der Barbarei des türkischen Staates aus #Afrin fliehen mussten, sind hilflos auf der…",FALSE,0,2018-03-19 19:32:22,FALSE,9.75817275168223E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rumsibumi,39,TRUE,FALSE
169,"Möge Gott die türkischen Streitkräfte in #Afrin mit dem Sieg segnen. Möge
Gott unserer Armee bis zum Letzten Tag de… https://t.co/IQNgQR8CnM",FALSE,0,2018-03-19 19:32:19,TRUE,9.75817262925074E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HarunYahya_de,1,FALSE,FALSE
170,"İnsan zihni ile dalga geçmeyi kendine şiar edinen Amerika...
#Amerika #afrin #Suriye https://t.co/o71BHxUMw2",FALSE,0,2018-03-19 19:32:19,FALSE,9.75817262497255E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jasamsena,0,FALSE,FALSE
