X,Text,favorited,favoriteCount,replyToSN,Date,truncated,replyToSID,id,replyToUID,statusSource,screen_name,retweetCount,isRetweet,retweeted,longitude,latitude,from_user,reply_to,users_mentioned,retweet_from,hashtags_used
40,RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8,FALSE,0,NA,1521484192,FALSE,NA,975801544309387300,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Senatk1905,1330,TRUE,FALSE,NA,NA,Senatk1905,NA,GalatasaraySK,GalatasaraySK,#Galatasaray
41,RT @AslanArenasi: #Galatasaray https://t.co/9mXtcpNeOs,FALSE,0,NA,1521484161,FALSE,NA,975801416303435800,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",habibeylmaz05,0,TRUE,FALSE,NA,NA,habibeylmaz05,NA,AslanArenasi,AslanArenasi,#Galatasaray
42,RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8,FALSE,0,NA,1521484144,FALSE,NA,975801345402921e3,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",UNLCCK,1330,TRUE,FALSE,NA,NA,UNLCCK,NA,GalatasaraySK,GalatasaraySK,#Galatasaray
43,RT @AslanArenasi: #Galatasaray https://t.co/iAmF9IC260,FALSE,0,NA,1521484142,FALSE,NA,975801336427110400,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",habibeylmaz05,1,TRUE,FALSE,NA,NA,habibeylmaz05,NA,AslanArenasi,AslanArenasi,#Galatasaray
44,RT @AslanArenasi: #Fernandomuslera #Galatasaray https://t.co/QfdK2BRbnk,FALSE,0,NA,1521484091,FALSE,NA,975801122328842200,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",habibeylmaz05,2,TRUE,FALSE,NA,NA,habibeylmaz05,NA,AslanArenasi,AslanArenasi,"c(""#Fernandomuslera"", ""#Galatasaray"")"
45,RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8,FALSE,0,NA,1521484044,FALSE,NA,975800924701642800,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Aslan0nline,1330,TRUE,FALSE,NA,NA,Aslan0nline,NA,GalatasaraySK,GalatasaraySK,#Galatasaray
46,RT @clb1905: Bu tweeti RT yapip bizi (@clb1905) takip eden 4 kisiye Galatasaray-Trabzonspor maci icin ucretsiz bilet devri yapacagim. Kazan…,FALSE,0,NA,1521484009,FALSE,NA,975800777540239400,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RAMAZANAYDIK,16,TRUE,FALSE,NA,NA,RAMAZANAYDIK,NA,"c(""clb1905"", ""clb1905"")",clb1905,character(0)
47,RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8,FALSE,0,NA,1521483993,FALSE,NA,975800710469169200,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",gala_soldier,1330,TRUE,FALSE,NA,NA,gala_soldier,NA,GalatasaraySK,GalatasaraySK,#Galatasaray
48,"RT @Anketcibey2: BÜYÜK ANKET 
BÖYLE BİR POTA OLSA KİMİ DESTEKLERDİNİZ?
 #survivor2018 #AdemKılıccı #hilmicemintepe #MuratCeylan #survivoral…",FALSE,0,NA,1521483976,FALSE,NA,975800638503358500,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",duermeli,49,TRUE,FALSE,NA,NA,duermeli,NA,Anketcibey2,Anketcibey2,"c(""#survivor2018"", ""#AdemKılıcc"", ""#hilmicemintepe"", ""#MuratCeylan"")"
49,RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8,FALSE,0,NA,1521483974,FALSE,NA,975800631834431500,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ouzhan_zerli,1330,TRUE,FALSE,NA,NA,ouzhan_zerli,NA,GalatasaraySK,GalatasaraySK,#Galatasaray
50,"#IgorTudor: ""#Galatasaray transferi sözkonusu olduğunda içerden-dışardan herkes bana oraya gitmemem gerektiğini, G.… https://t.co/57UkKueN32",FALSE,0,sporbord,1521483973,TRUE,9.7579891970269594e+17,975800625559752700,2654728862,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",sporbord,0,FALSE,FALSE,NA,NA,sporbord,NA,character(0),NA,"c(""#IgorTudor"", ""#Galatasaray"")"
51,RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8,FALSE,0,NA,1521483926,FALSE,NA,975800429736054800,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",omerbalik5,1330,TRUE,FALSE,NA,NA,omerbalik5,NA,GalatasaraySK,GalatasaraySK,#Galatasaray
52,NA,FALSE,0,NA,1521483916,FALSE,NA,975800386513551400,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>",qphetoax81,6,TRUE,FALSE,NA,NA,qphetoax81,NA,NA,NA,character(0)
53,RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8,FALSE,0,NA,1521483874,FALSE,NA,975800209929359400,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",UAhAruN1905,1330,TRUE,FALSE,NA,NA,UAhAruN1905,NA,GalatasaraySK,GalatasaraySK,#Galatasaray
54,RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8,FALSE,0,NA,1521483817,FALSE,NA,975799973580361700,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",okan_geyik_,1330,TRUE,FALSE,NA,NA,okan_geyik_,NA,GalatasaraySK,GalatasaraySK,#Galatasaray
55,"RT @akincakir_: Hagi den sonra Galatasaray'a gelmiş en iyi orta saha oyuncusu sizce hangisidir?
Hatırladığınız başka seçenek varsa yoruma y…",FALSE,0,NA,1521483784,FALSE,NA,975799832408358900,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",marskelebegii,3,TRUE,FALSE,NA,NA,marskelebegii,NA,akincakir_,akincakir_,character(0)
56,RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8,FALSE,0,NA,1521483772,FALSE,NA,975799784203223e3,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",canerutkun,1330,TRUE,FALSE,NA,NA,canerutkun,NA,GalatasaraySK,GalatasaraySK,#Galatasaray
57,"RT @akincakir_: Zor soru: Hangisi?

#GalatasaraylılarTakipleşiyor
#Galatasaray
#Hedef21",FALSE,0,NA,1521483754,FALSE,NA,975799709737668600,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",marskelebegii,5,TRUE,FALSE,NA,NA,marskelebegii,NA,akincakir_,akincakir_,"c(""#GalatasaraylılarTakipleşiyor"", ""#Galatasaray"", ""#Hedef21"")"
58,RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8,FALSE,0,NA,1521483739,FALSE,NA,975799643312459800,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",cansensess,1330,TRUE,FALSE,NA,NA,cansensess,NA,GalatasaraySK,GalatasaraySK,#Galatasaray
59,NA,FALSE,0,NA,1521483727,FALSE,NA,975799595329564700,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mer56644517,340,TRUE,FALSE,NA,NA,mer56644517,NA,NA,NA,character(0)
60,NA,FALSE,0,NA,1521483638,FALSE,NA,975799221159784400,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",thug_yong_pop,6,TRUE,FALSE,NA,NA,thug_yong_pop,NA,NA,NA,character(0)
61,RT @UAslanmedia: Herkes paylaşsın trt spora gelsin.yandaş medya akıllı ol. #Galatasaray https://t.co/j0K2vml0Ic,FALSE,0,NA,1521483636,FALSE,NA,975799214939738100,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",merttolga4,31,TRUE,FALSE,NA,NA,merttolga4,NA,UAslanmedia,UAslanmedia,#Galatasaray
62,"Unutursak kalbimiz kurusun 
@sneijder101010 
#GALATASARAY #ultraslan #Gomis #belhanda #Sneijder #wes10 https://t.co/KfvjBHVJjN",FALSE,3,NA,1521483622,FALSE,NA,975799155884019700,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GalipPusat,0,FALSE,FALSE,NA,NA,GalipPusat,NA,sneijder101010,NA,"c(""#GALATASARAY"", ""#ultraslan"", ""#Gomis"", ""#belhanda"", ""#Sneijder"", ""#wes10"")"
63,RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8,FALSE,0,NA,1521483610,FALSE,NA,975799104981884900,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",OmerKabak4,1330,TRUE,FALSE,NA,NA,OmerKabak4,NA,GalatasaraySK,GalatasaraySK,#Galatasaray
64,"RT @BuChoCukCokFena: Günaydın #Galatasaray Ailesi

#Hedef21 

#ŞampiyonCimbomYazdıracağız 

#GalatasarayAilesiTakiplesiyor 

⭐️⭐️⭐️⭐️❤️❤️❤️…",FALSE,0,NA,1521483599,FALSE,NA,975799059725324300,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Aslan78951476,1,TRUE,FALSE,NA,NA,Aslan78951476,NA,BuChoCukCokFena,BuChoCukCokFena,"c(""#Galatasaray"", ""#Hedef21"", ""#ŞampiyonCimbomYazdıracağız"", ""#GalatasarayAilesiTakiplesiyor"")"
65,"84 ülkede yayınlanan bir #dünya #derbisi (mi?)… #Mustafa #Doğan, #Fenerbahçe- #Galatasaray derbisindeki yayıncılık… https://t.co/rY6lMLTphm",FALSE,0,NA,1521483557,TRUE,NA,975798881945571300,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Futbolmedya,0,FALSE,FALSE,NA,NA,Futbolmedya,NA,character(0),NA,"c(""#dünya"", ""#derbisi"", ""#Mustafa"", ""#Doğan"", ""#Fenerbahçe"", ""#Galatasaray"")"
